,United States,Japan,United Kingdom,Canada,France,Switzerland,Germany,Australia,Netherlands,Denmark,Sweden,Spain,Italy,Finland,Belgium,Norway,Israel,Ireland,New Zealand,Austria,Portugal,Eurozone,China,India,Korea,Brazil,Saudi Arabia,South Africa,Mexico,Indonesia,Turkiye,Poland,Chile,Greece,Hungary,Czechia,Colombia,Argentina,Russia
1999-01-01,5.6513,0.8561,3.5771,3.5765,3.0197,2.1913,2.6452,6.4887,6.6409,1.7525,4.0291,4.5974,2.655,3.9126,2.5323,4.7073,4.5837,9.5995,2.5175,2.1044,6.5075,,,,8.4162,-0.9478,,0.3323,2.3203,2.189,-0.726,4.1095,-3.0433,3.0519,6.1482,3.3655,,,
1999-04-01,5.413,1.0515,4.5853,3.3629,2.8211,2.099,3.2721,5.4887,6.322,-0.2225,3.3235,5.2195,2.8481,3.5556,1.972,1.0047,3.1216,6.864,3.8149,3.1053,4.9454,,,,11.542,-0.6478,,1.2418,3.2307,3.8922,3.5276,6.2219,-4.9401,2.2762,6.9145,3.5238,,,
1999-07-01,5.2259,1.0336,3.982,4.0479,4.0091,2.027,2.0262,4.6194,5.69,-0.5135,3.5936,5.6896,2.7963,3.8691,1.8817,3.7784,4.3386,11.5035,4.4772,1.591,5.3002,,,,13.384,-0.0571,,2.2067,5.2352,7.657,-1.8747,4.4846,-0.7301,3.1149,7.0699,3.6451,,,
1999-10-01,5.2446,1.4709,4.7765,4.7435,3.8458,2.2845,1.9768,5.0627,5.0139,-1.4478,5.1109,3.7264,2.7562,2.0935,2.0751,5.4875,4.7216,10.0916,2.3031,2.835,4.3501,,,,14.6833,3.0993,,3.1675,6.1704,4.899,-0.5397,6.6983,4.8402,1.4243,6.4776,1.9286,,,
2000-01-01,5.7498,1.6456,5.1959,4.3436,4.776,2.1599,1.6407,3.4807,4.7535,-0.019,6.016,6.707,2.9427,3.6102,2.7319,3.3382,5.9791,10.9648,1.3417,2.9877,5.1309,,,,13.4033,1.8267,,4.1345,8.898,0.8067,3.6104,4.364,5.0156,2.4071,4.2615,1.2688,,,
2000-04-01,5.1273,1.3919,4.3136,4.1957,4.8732,2.2999,2.3023,3.694,3.4688,1.398,7.0945,4.5491,2.5303,2.1111,2.7412,6.441,7.8642,13.6149,1.8055,3.7712,3.559,,,,11.5328,4.2042,,4.1834,8.9177,2.0099,2.4599,2.1888,5.7362,1.708,3.0362,1.6065,,,
2000-07-01,4.9546,0.8771,4.4756,4.2466,2.7403,2.4897,2.226,3.6357,3.2238,0.3088,6.2585,3.9656,2.2346,0.8457,2.739,4.5074,8.9037,7.9018,1.4673,2.7376,3.2608,,,,7.8711,4.8499,,4.1851,8.5868,0.8101,6.1989,2.5178,4.0905,-0.9717,2.4615,2.7547,,,
2000-10-01,4.3453,1.8476,4.7379,3.4835,2.4119,2.0138,0.7855,2.8815,3.2385,-0.1312,2.9154,2.6328,2.682,1.8741,3.1293,2.4574,10.8195,8.9955,0.919,2.8723,2.8227,,,,4.9865,4.0788,,4.051,7.8672,2.7074,5.5509,2.4924,1.5982,-1.2249,2.6864,1.3702,,,
2001-01-01,3.1639,1.8747,3.4657,3.1868,2.5431,2.6286,2.0317,3.4928,1.9516,-0.043,2.1373,2.815,2.1494,1.2675,2.4386,2.0433,8.0895,5.8134,1.4852,2.5494,0.4414,,,,3.1978,5.1039,,3.8331,5.6015,3.4669,-1.4929,1.498,2.033,1.6456,3.0733,2.344,,,
2001-04-01,2.4148,2.8611,2.9982,2.4878,2.4237,2.646,0.6343,3.2677,2.3434,0.7119,0.6548,3.9764,1.1434,2.7644,1.663,1.1981,4.8982,5.4585,1.6245,0.7424,1.7305,,,,5.3684,3.0842,,3.4398,3.6211,2.6217,-9.4442,2.2536,2.9694,2.8481,4.8238,3.4246,,,
2001-07-01,1.7959,2.6097,3.2981,1.4678,2.3764,2.3374,0.9672,2.4228,1.9097,0.3822,0.4624,4.3985,0.0949,3.3451,0.4285,1.5716,2.3159,4.6502,2.4085,0.8007,0.2285,,,,6.2757,-1.737,,3.2255,1.5965,3.9554,-7.6335,3.1822,1.3913,5.055,4.8701,3.0291,,,
2001-10-01,2.5425,1.1927,3.1288,2.4943,2.9317,1.9956,1.4975,2.5668,1.9985,-0.14,0.3079,4.3036,-0.6761,3.3422,-0.7912,3.4457,0.9253,5.7546,3.628,1.1248,1.17,,,,8.2582,-1.8806,,3.4809,1.2691,3.9297,-8.2827,1.2275,1.7134,5.0099,5.3543,3.1776,,,
2002-01-01,2.3994,1.1796,3.0417,3.2432,2.0946,1.0329,-1.6094,2.9511,1.7491,1.646,1.9093,3.5898,-0.6205,1.7181,-0.5317,3.22,2.2354,4.7084,2.9461,-0.2882,1.6746,,,,11.4723,0.1756,,3.7044,0.7925,4.1435,-3.2829,4.1795,2.3472,6.5345,7.4075,3.1443,,,
2002-04-01,2.7111,1.1831,2.833,4.3768,1.9894,0.36,-1.9787,3.9331,1.1769,-0.1912,2.0967,3.2271,-0.6151,2.8413,0.0539,2.0217,2.4117,3.0442,3.637,0.7186,1.434,,,,9.7052,0.7107,,3.1888,2.1797,4.0137,5.7434,3.1367,1.7928,5.811,6.4502,3.3034,,,
2002-07-01,3.0712,1.3226,2.333,4.3127,2.1374,0.2621,-1.2754,5.092,1.0178,1.6561,1.9095,2.5324,0.2192,2.8174,1.0564,3.4475,0.6125,5.7225,4.1427,1.5241,1.9931,,,,8.869,2.7911,,2.8479,2.2151,3.6103,7.0247,2.9894,3.7313,2.954,8.6269,2.1372,,,
2002-10-01,1.9987,1.249,2.4214,4.0578,1.9574,-0.1167,-0.5211,4.7707,0.7743,2.6945,3.1195,2.9705,0.8836,2.6181,1.8782,3.8428,1.1367,3.4507,5.0214,0.925,0.0405,,,,6.069,1.5854,,2.9596,1.3588,3.5864,6.3999,4.7866,2.8202,5.9302,9.0015,3.5932,,,
2003-01-01,2.2734,1.085,2.9743,2.9627,2.1183,0.2085,0.2135,4.0686,0.5248,0.0865,1.2364,1.7602,0.4153,3.9684,1.2429,2.7203,-1.4952,4.0131,7.3042,2.0642,-0.8995,,,,1.707,-0.0576,,2.1379,2.1361,3.3876,10.0966,0.4472,2.7935,4.1464,9.9502,5.3092,,,
